FIELD_1,FIELD_2,FIELD_3,FIELD_4,TAR_SLOPE.,TARRAWAR,TAR_PROFCU,TAR_ASPECT,TAR_PLANCU,TAR_MCURV.
2,1000,850,50.20000000,0.06173572,85.43000031,-0.00263814,4.87487555,-0.00256175,-0.00519989
2,1000,840,48.20000000,0.08632430,85.66000366,-0.00285647,5.10362530,-0.00074278,-0.00359924
2,980,840,48.60000000,0.04833541,84.41000366,-0.00120589,4.58803797,-0.00199357,-0.00319946
2,980,850,57.10000000,0.04022758,84.52999878,0.00023993,4.24874115,-0.00183997,-0.00160004
2,980,860,55.50000000,0.04456901,84.76999664,-0.00020655,3.97457170,-0.00099401,-0.00120056
2,980,870,49.90000000,0.05379954,85.13999939,-0.00104076,3.68838048,-0.00135945,-0.00240021
2,980,880,50.80000000,0.06997833,85.70999908,-0.00176489,3.38656878,-0.00023553,-0.00200043
2,980,890,46.90000000,0.09129300,86.51000214,-0.00190125,3.25105071,0.00070161,-0.00119965
2,980,900,46.10000000,0.10553595,87.50000000,-0.00140083,3.27414322,0.00100105,-0.00039978
2,980,910,46.60000000,0.11115068,88.58999634,0.00007727,3.35832357,0.00192224,0.00199951
2,980,920,47.30000000,0.11027617,89.66000366,-0.00025342,3.43477798,0.00185376,0.00160034
2,980,930,47.60000000,0.11804434,90.73999786,-0.00111578,3.45001197,0.00151526,0.00039948
2,980,940,48.80000000,0.13173576,91.94000244,-0.00094372,3.45618558,0.00214397,0.00120026
2,980,950,50.00000000,0.13620953,93.23000336,0.00055289,3.50719380,0.00224771,0.00280060
2,980,960,47.60000000,0.13314037,94.48999786,0.00110716,3.54845095,0.00209260,0.00319977
2,980,970,49.90000000,0.13173579,95.69000244,-0.00027488,3.56134295,0.00067527,0.00040039
2,980,980,53.00000000,0.13213874,96.91000366,0.00061240,3.56821728,0.00098794,0.00160034
2,980,990,48.90000000,0.12464982,98.08999634,0.00117721,3.56953883,0.00042221,0.00159943
2,960,940,48.60000000,0.12765327,90.83999634,-0.00128124,3.60175514,-0.00031910,-0.00160034
2,960,930,51.10000000,0.11577652,89.75000000,-0.00127018,3.62446404,0.00007023,-0.00119995
2,960,920,48.50000000,0.10432878,88.77999878,-0.00103730,3.63941574,0.00023713,-0.00080017
2,960,910,46.20000000,0.09585632,87.90000153,-0.00039996,3.60524035,0.00160022,0.00120026
2,960,900,47.20000000,0.09129305,87.04000092,-0.00099316,3.52209592,0.00139324,0.00040009
2,960,890,47.70000000,0.08905013,86.19000244,-0.00030466,3.41374421,0.00110483,0.00080017
2,960,880,47.30000000,0.08637017,85.33000183,-0.00063514,3.38656926,0.00023536,-0.00039978
2,960,870,53.60000000,0.06935064,84.56999969,-0.00152474,3.54080939,-0.00127525,-0.00279999
2,960,860,52.00000000,0.05161617,84.05000305,-0.00168389,3.88591957,-0.00271553,-0.00439941
2,960,850,57.30000000,0.04338972,83.77999878,-0.00089377,4.20753479,-0.00110666,-0.00200043
2,940,850,55.90000000,0.02784972,83.27999878,-0.00126497,3.50875854,-0.00193510,-0.00320007
2,940,860,58.80000000,0.04623782,83.62999725,-0.00234324,3.24985361,-0.00125723,-0.00360046
2,940,870,45.70000000,0.06453984,84.19000244,-0.00184018,3.28129601,-0.00095951,-0.00279968
2,940,880,47.90000000,0.07200042,84.87000275,-0.00124755,3.43703127,-0.00035187,-0.00159943
2,1020,840,47.20000000,0.11229512,87.48999786,-0.00046125,5.21173716,0.00086103,0.00039978
2,1020,850,49.00000000,0.09903792,86.94999695,-0.00264709,5.21654987,-0.00015351,-0.00280060
2,1020,860,46.20000000,0.07260488,86.58000183,-0.00256000,5.03414297,-0.00143994,-0.00399994
2,1020,870,53.50000000,0.05119997,86.48999786,-0.00092417,4.61465645,-0.00307638,-0.00400055
2,1020,880,60.00000000,0.04353787,86.65000153,0.00063262,4.15622520,-0.00223235,-0.00159973
2,1020,890,50.30000000,0.04826371,86.95999908,-0.00092529,3.61450124,-0.00267487,-0.00360016
2,1020,900,48.90000000,0.07884265,87.55000305,-0.00434604,3.15425301,-0.00125333,-0.00559937
2,1020,910,47.50000000,0.11363524,88.52999878,-0.00298277,3.00093126,-0.00061739,-0.00360016
2,1020,920,50.40000000,0.12926370,89.76999664,-0.00027189,3.01819491,-0.00012850,-0.00040039
2,1020,930,49.40000000,0.13834064,91.09999847,-0.00112715,3.08410072,-0.00007280,-0.00119995
2,1020,940,46.60000000,0.15089722,92.55000305,-0.00157703,3.11528230,0.00077777,-0.00079926
2,1020,950,48.90000000,0.15377900,94.11000061,0.00040528,3.13513970,0.00119506,0.00160034
2,1020,960,47.30000000,0.14212273,95.61000061,0.00115835,3.17654562,0.00124186,0.00240021
2,1020,970,47.90000000,0.12785983,96.97000122,0.00150740,3.23507166,0.00169298,0.00320038
2,1020,980,48.30000000,0.11937167,98.19000244,0.00032596,3.26698279,0.00047452,0.00080048
2,1020,990,47.50000000,0.10972601,99.33999634,0.00116246,3.28734350,0.00083674,0.00199921
2,1020,1000,49.20000000,0.09580930,100.36000061,0.00136790,3.35123062,0.00023214,0.00160004
2,1020,1010,48.40000000,0.08278059,101.22000122,0.00059048,3.40995932,0.00020969,0.00080017
